labels,values,title,value_heading
"['eye', 'liquor', 'deck', 'sugar']","[10, 40, 10, 10]",Title,Values
"['pilot', 'waste', 'pistol', 'mature', 'work', 'dance', 'terror', 'spring', 'room']","[5, 4, 4, 2, 3, 7, 9, 4, 6]",Most preferred objects,Number of People
"['rock', 'wage', 'clerk']","[8, 7, 1]",Accuracy of different algorithms,Accuracy
"['barn', 'axis', 'saline', 'inside', 'guide']","[8, 4, 3, -3, -4]",Title,Values
"['land', 'couple', 'girl', 'travel', 'bottle', 'battle']","[8, 7, 3, 2, 5, 4]",Sales statistics for different items,Units sold
"['jungle', 'bomb']","[1, 3]",Sales statistics for different items,Units sold
"['till', 'sample', 'event', 'faint', 'plot', 'choice']","[6, 3, 4, 5, 2, 7]",Accuracy of different algorithms,Accuracy
"['status', 'luck', 'door', 'access', 'lip', 'dear']","[6, 6, 7, 9, 6, 6]",Title,Values
"['owner', 'impact']","[3, 4]",Sales statistics for different items,Units sold
"['silver', 'beard', 'drug']","[40, 20, 80]",Accuracy of different algorithms,Accuracy
"['speech', 'glance']","[10, 1000]",Title,Values
"['party', 'bulk', 'rest']","[100, 1000, 1000000]",Title,Values
"['date', 'minute', 'garden', 'writer', 'flux', 'golf', 'kid', 'shop', 'figure']","[9, 5, 6, 2, 9, 1, 6, -1, 4]",Title,Values
"['mess', 'speed', 'rail', 'studio', 'campus']","[80, 40, 30, 50, 10]",Accuracy of different algorithms,Accuracy
"['wagon', 'shade', 'melody', 'beam']","[20, 80, 40, 40]",Title,Values
"['kid', 'phrase', 'letter', 'rain', 'era']","[8, 2, 9, 7, 8]",Sales statistics for different items,Units sold
"['output', 'charge', 'staff', 'agent', 'chain']","[3, 4, 8, 7, 6]",Sales statistics for different items,Units sold
"['voyage', 'stem', 'circle', 'mind']","[50, 10, 60, 10]",Title,Values
"['rage', 'breath', 'fight', 'pure', 'engine']","[7, 6, 2, 4, 4]",Accuracy of different algorithms,Accuracy
"['pack', 'whisky', 'bird', 'list', 'self', 'graph', 'father', 'work']","[1, 9, 8, 3, 8, 3, 6, 2]",Title,Values
"['ballet', 'sense', 'graph', 'client', 'sale']","[3, -3, 7, 1, 8]",Title,Values
"['drunk', 'guide']","[4, 8]",Accuracy of different algorithms,Accuracy
"['basis', 'advice', 'role', 'unity', 'award']","[3, 2, 6, 8, 6]",Most preferred objects,Number of People
"['style', 'ward', 'half', 'depth', 'plate']","[-8, 1, 9, 7, -4]",Title,Values
"['stop', 'piano', 'stem', 'bar', 'phone', 'world']","[90, 30, 20, 60, 80, 70]",Accuracy of different algorithms,Accuracy
"['flesh', 'ground', 'living', 'base', 'cool']","[1, 8, 8, 8, 7]",Most preferred objects,Number of People
"['second', 'lamp']","[4, 3]",Most preferred objects,Number of People
"['beer', 'award', 'rage', 'glance', 'round', 'dawn', 'code']","[4, 3, 3, 4, 9, 3, 5]",Title,Values
"['opera', 'bank', 'mode', 'editor', 'fight', 'son', 'jacket']","[7, 2, 5, 2, 8, 5, 2]",Most preferred objects,Number of People
"['load', 'pair', 'writer', 'salt', 'part', 'making', 'ticket']","[4, 2, 1, 6, 5, 9, 1]",Accuracy of different algorithms,Accuracy
"['sale', 'coffee', 'peace', 'notice', 'voting', 'crew']","[4, 2, 8, 3, 6, 2]",Title,Values
"['phone', 'danger', 'golf', 'county', 'glance']","[9, 5, 8, 8, 6]",Most preferred objects,Number of People
"['ratio', 'goal', 'hill', 'honey', 'scale', 'meal', 'drama']","[5, 5, 3, 5, 1, 5, 3]",Most preferred objects,Number of People
"['study', 'light', 'skirt']","[50, 40, 90]",Title,Values
"['dream', 'car', 'dealer']","[9, 4, 3]",Sales statistics for different items,Units sold
"['fluid', 'sun', 'writer', 'time', 'minute']","[4, 8, 1, 5, 6]",Sales statistics for different items,Units sold
"['profit', 'nature']","[7, 3]",Accuracy of different algorithms,Accuracy
"['trail', 'weight', 'client', 'image', 'brush']","[9, -1, 1, -5, -5]",Title,Values
"['doctor', 'gift', 'hand', 'hole', 'era']","[6, 4, 5, 5, 4]",Most preferred objects,Number of People
"['scope', 'inch', 'wait', 'judge', 'parade', 'value']","[80, 10, 20, 20, 70, 40]",Accuracy of different algorithms,Accuracy
"['diet', 'idea', 'road', 'money']","[100000, 10, 10000000, 1000000]",Title,Values
"['truck', 'hour', 'earth', 'fruit', 'coat', 'limit']","[7, 7, 6, 8, 7, 8]",Most preferred objects,Number of People
"['sin', 'heat', 'tissue', 'marine', 'cereal', 'death', 'porch', 'lap']","[9, 5, 4, 1, 6, 3, 2, 9]",Sales statistics for different items,Units sold
"['growth', 'hell']","[7, 3]",Title,Values
"['dawn', 'buffer', 'life', 'lawyer', 'drink', 'storm']","[6, 1, 6, 9, 3, 2]",Accuracy of different algorithms,Accuracy
"['hunger', 'date', 'beam', 'input', 'panic']","[20, 50, 60, 70, 70]",Title,Values
"['tip', 'day', 'energy', 'desk', 'escape', 'virtue']","[3, 3, 2, 7, 6, 1]",Title,Values
"['copy', 'tape', 'fluid', 'book', 'age', 'cow']","[10, 100, 1000000000, 10, 10, 100]",Title,Values
"['sheet', 'detail', 'belt', 'right', 'length', 'meal']","[7, 9, 7, 5, 4, 3]",Accuracy of different algorithms,Accuracy
"['habit', 'burden', 'stroke', 'axis', 'record']","[10, 70, 80, 60, 70]",Accuracy of different algorithms,Accuracy
"['shell', 'fun', 'cereal', 'bare', 'marine', 'event']","[5, 3, 3, 9, 6, 9]",Most preferred objects,Number of People
"['birth', 'access']","[100000, 10000]",Title,Values
"['danger', 'art', 'outfit', 'light', 'worth']","[7, 2, 3, 4, 4]",Most preferred objects,Number of People
"['editor', 'look', 'path', 'amount']","[40, 30, 80, 90]",Accuracy of different algorithms,Accuracy
"['charm', 'world', 'friend']","[8, 1, 0]",Title,Values
"['game', 'prison', 'canvas', 'aid']","[10000, 100000000, 100, 100000000]",Title,Values
"['switch', 'tax', 'axis', 'glory']","[-3, 6, -9, 9]",Title,Values
"['dawn', 'campus']","[5, 3]",Most preferred objects,Number of People
"['grass', 'rate', 'cow', 'idea']","[-6, 9, 2, 4]",Title,Values
"['panel', 'coat', 'voice', 'load', 'feed']","[30, 20, 20, 40, 50]",Accuracy of different algorithms,Accuracy
"['bottom', 'king']","[7, 6]",Sales statistics for different items,Units sold
"['unit', 'yard', 'gas', 'favor', 'list', 'smell']","[3, 8, 5, 3, 6, 2]",Most preferred objects,Number of People
"['luxury', 'total', 'hope']","[70, 70, 60]",Accuracy of different algorithms,Accuracy
"['title', 'meat', 'mood']","[2, 7, 6]",Title,Values
"['drive', 'nature']","[2, 6]",Most preferred objects,Number of People
"['bundle', 'radio', 'forest', 'play', 'drift', 'fool', 'staff']","[4, 8, 9, 3, 0, 9, 6]",Title,Values
"['answer', 'screen', 'basket', 'theme', 'frame', 'talent', 'verse', 'error']","[6, 6, 4, 7, 4, 5, 6, 3]",Sales statistics for different items,Units sold
"['hope', 'award', 'regime']","[6, 2, 7]",Title,Values
"['half', 'driver', 'pound', 'parade', 'gas']","[80, 50, 80, 70, 50]",Accuracy of different algorithms,Accuracy
"['stuff', 'taste', 'guy', 'way', 'break', 'symbol', 'pool', 'march', 'damage']","[40, 80, 50, 90, 40, 60, 40, 10, 80]",Most preferred objects,Percent of People
"['butter', 'share', 'ward', 'safety']","[2, 4, 7, 4]",Sales statistics for different items,Units sold
"['flesh', 'fly', 'sweat', 'mean', 'pistol', 'score']","[3, 7, 6, 5, 9, 8]",Title,Values
"['taxi', 'ranch', 'noon', 'rifle']","[5, 6, 5, 4]",Accuracy of different algorithms,Accuracy
"['board', 'share', 'event', 'hotel', 'cabin', 'bus']","[20, 60, 20, 20, 90, 10]",Title,Values
"['barn', 'injury', 'host']","[9, 3, 1]",Accuracy of different algorithms,Accuracy
"['ward', 'sheet', 'prayer']","[-5, 3, 2]",Title,Values
"['colony', 'bride', 'mean', 'target', 'bread', 'form']","[60, 40, 80, 30, 90, 20]",Title,Values
"['pound', 'burden', 'merit', 'foam']","[4, -1, 5, 3]",Title,Values
"['feed', 'rice', 'point', 'leg', 'rest', 'son', 'corps', 'engine']","[40, 60, 50, 30, 80, 40, 90, 80]",Title,Values
"['fist', 'claim', 'system', 'winter']","[2, 1, 6, 2]",Accuracy of different algorithms,Accuracy
"['manner', 'bus', 'driver', 'doctor', 'damage', 'growth']","[4, 2, 5, 3, 1, 4]",Most preferred objects,Number of People
"['driver', 'fiber', 'closet', 'safety', 'career']","[2, 4, 5, 9, 8]",Most preferred objects,Number of People
"['key', 'front', 'drop', 'latter', 'cool', 'bay', 'thing', 'pilot', 'buffer']","[6, 4, 8, 5, 8, 3, 5, 3, 4]",Title,Values
"['novel', 'rage', 'color', 'camp', 'brain', 'law']","[20, 70, 70, 90, 70, 20]",Most preferred objects,Percent of People
"['plate', 'thing', 'chorus', 'fist', 'soul', 'load']","[-4, 3, 8, 5, 5, 1]",Title,Values
"['money', 'desk', 'suit', 'brand', 'crash', 'liquor']","[20, 50, 40, 40, 50, 70]",Most preferred objects,Percent of People
"['copy', 'peace', 'pride', 'vote', 'corner', 'faint', 'bowl']","[6, 4, 6, 4, 1, 4, 9]",Sales statistics for different items,Units sold
"['list', 'color', 'middle', 'cotton', 'wage', 'circle', 'cash', 'region']","[6, 1, 1, 8, 6, 6, 1, 4]",Sales statistics for different items,Units sold
"['wood', 'end', 'mad']","[30, 60, 20]",Title,Values
"['train', 'rain', 'class', 'river']","[2, 3, 8, 6]",Sales statistics for different items,Units sold
"['laugh', 'trade', 'host', 'bay']","[10, 60, 20, 20]",Most preferred objects,Percent of People
"['widow', 'snake', 'county', 'shirt', 'hope', 'escape']","[4, 8, 6, 2, 2, 4]",Sales statistics for different items,Units sold
"['fluid', 'coat', 'season', 'serum', 'marine', 'state']","[6, 2, 4, 3, 6, 3]",Most preferred objects,Number of People
"['random', 'view', 'motor', 'fury', 'song', 'actor', 'growth']","[1, 4, 6, 4, 4, 7, 2]",Title,Values
"['slope', 'appeal', 'drive', 'cabin', 'dance']","[50, 60, 70, 90, 40]",Title,Values
"['matter', 'pride']","[90, 60]",Most preferred objects,Percent of People
"['staff', 'sir', 'sera', 'string', 'wheel', 'fly', 'liquor']","[2, 2, 5, 1, 2, 1, 6]",Sales statistics for different items,Units sold
"['half', 'travel', 'cream', 'bit', 'power', 'opera']","[60, 60, 50, 60, 70, 70]",Accuracy of different algorithms,Accuracy
"['noon', 'guest', 'idea', 'march', 'hold']","[9, 9, 2, 6, 1]",Most preferred objects,Number of People
"['rice', 'copy', 'job', 'king', 'cloud']","[9, 5, 7, 3, 7]",Most preferred objects,Number of People
"['factor', 'adult', 'idea', 'north', 'route', 'theory', 'look', 'harbor']","[5, 4, 5, 1, 4, 3, 5, 8]",Sales statistics for different items,Units sold
"['patent', 'dark', 'system', 'yard', 'panic', 'breath']","[5, 5, 3, 4, 6, 7]",Sales statistics for different items,Units sold
"['attack', 'plan']","[1, 9]",Accuracy of different algorithms,Accuracy
"['dollar', 'step', 'state', 'input', 'jail']","[5, 5, 8, 8, 6]",Sales statistics for different items,Units sold
"['ice', 'inch', 'force', 'favor', 'widow', 'grant']","[2, 6, 6, 8, 3, 4]",Accuracy of different algorithms,Accuracy
"['park', 'issue', 'wine', 'line']","[8, 8, 9, 9]",Most preferred objects,Number of People
"['chip', 'bridge', 'pastor', 'player']","[100, 10000000, 10000, 100]",Title,Values
"['road', 'child', 'lumber', 'trip', 'storm', 'nose']","[4, 3, 6, 8, 4, 4]",Accuracy of different algorithms,Accuracy
"['heat', 'town']","[9, 3]",Accuracy of different algorithms,Accuracy
"['sale', 'making', 'beef', 'marine', 'club', 'sign', 'porch', 'way']","[8, 7, 6, 8, 1, 6, 8, 2]",Title,Values
"['shadow', 'drug', 'crowd', 'self', 'regard', 'need', 'image']","[1, 6, 6, 4, 7, 7, 5]",Sales statistics for different items,Units sold
"['beat', 'ease', 'dream', 'bureau', 'mine']","[1, 4, 4, 1, 7]",Most preferred objects,Number of People
"['depth', 'train', 'sin', 'town', 'safety', 'basis', 'soap']","[1, 4, 9, 4, 4, 7, 2]",Most preferred objects,Number of People
"['fruit', 'corps']","[4, 8]",Sales statistics for different items,Units sold
"['seed', 'event', 'train']","[3, 3, 3]",Most preferred objects,Number of People
"['claim', 'county', 'soil', 'oxygen']","[1000000000, 1000000, 1000000000, 100000]",Title,Values
"['mean', 'fight', 'killer', 'plenty']","[4, 9, 5, 2]",Sales statistics for different items,Units sold
"['self', 'lunch', 'well']","[40, 40, 80]",Most preferred objects,Percent of People
"['style', 'cup', 'shell']","[7, 3, 3]",Title,Values
"['work', 'merger', 'memory', 'moon', 'break']","[4, 1, 8, 3, 8]",Title,Values
"['game', 'cloth']","[1, 9]",Sales statistics for different items,Units sold
"['anyone', 'touch', 'loss', 'warmth', 'mold', 'self', 'radar']","[2, 8, 4, 6, 1, 9, 8]",Accuracy of different algorithms,Accuracy
"['lie', 'load', 'buffer', 'skirt']","[7, 4, 6, 2]",Accuracy of different algorithms,Accuracy
"['matter', 'shade', 'left']","[7, -9, 9]",Title,Values
"['warmth', 'knee', 'truth', 'corn']","[9, 1, 5, 6]",Sales statistics for different items,Units sold
"['bunk', 'coach']","[3, 4]",Accuracy of different algorithms,Accuracy
"['rock', 'term', 'belt', 'truck', 'bench', 'jet']","[-7, 1, -6, 7, 3, 2]",Title,Values
"['joy', 'paper']","[90, 80]",Title,Values
"['bride', 'stock', 'labor', 'patent']","[1, 6, 7, 5]",Most preferred objects,Number of People
"['code', 'belief', 'bank']","[9, 9, 5]",Sales statistics for different items,Units sold
"['bureau', 'cell', 'site']","[2, 9, 8]",Title,Values
"['card', 'era', 'window', 'drift', 'reason', 'feed', 'pride']","[5, 6, 3, 5, 1, 1, 4]",Accuracy of different algorithms,Accuracy
"['plenty', 'savage']","[1, 5]",Sales statistics for different items,Units sold
"['patrol', 'jungle']","[9, 4]",Accuracy of different algorithms,Accuracy
"['cut', 'tax']","[60, 50]",Accuracy of different algorithms,Accuracy
"['cash', 'secret', 'dinner', 'nature', 'fence', 'essay', 'anyone', 'grain']","[7, 5, 1, 1, 2, 1, 5, 3]",Sales statistics for different items,Units sold
"['court', 'gyro', 'report', 'pocket', 'light', 'fish', 'slope']","[8, 4, 6, 3, 7, 8, 5]",Title,Values
"['debate', 'ball', 'plain', 'hole', 'deck', 'prize', 'essay', 'force', 'night']","[1, 5, 6, 1, 3, 7, -7, 8, 7]",Title,Values
"['brass', 'sewage', 'sum']","[6, 5, 5]",Accuracy of different algorithms,Accuracy
"['core', 'oxygen', 'house', 'myth', 'trap']","[8, 9, 7, 1, 1]",Sales statistics for different items,Units sold
"['horror', 'start', 'notice']","[60, 60, 50]",Title,Values
"['task', 'stuff', 'frame', 'inch', 'pocket', 'feel']","[1, 6, 3, 1, 5, 9]",Most preferred objects,Number of People
"['laugh', 'moon', 'choice']","[2, 2, 3]",Title,Values
"['sport', 'gate', 'north', 'card']","[1000000, 1000, 100000, 100]",Title,Values
"['self', 'driver', 'male']","[6, 3, 6]",Accuracy of different algorithms,Accuracy
"['order', 'nobody', 'train', 'fiber', 'mode']","[1, 6, 6, 8, 8]",Most preferred objects,Number of People
"['slope', 'fan', 'award', 'team', 'course', 'root', 'art']","[8, 3, 5, 5, 8, 7, 3]",Accuracy of different algorithms,Accuracy
"['client', 'child', 'group']","[9, 7, 9]",Most preferred objects,Number of People
"['west', 'truck', 'barn', 'yield', 'street', 'budget']","[20, 30, 70, 60, 30, 50]",Most preferred objects,Percent of People
"['access', 'song', 'style', 'tax']","[1, 5, 8, 6]",Sales statistics for different items,Units sold
"['mine', 'film', 'legs', 'team', 'evil', 'motel', 'memory', 'lack']","[60, 30, 70, 60, 70, 40, 10, 50]",Most preferred objects,Percent of People
"['wait', 'bone', 'hay', 'star']","[3, 2, 3, 9]",Accuracy of different algorithms,Accuracy
"['vertex', 'flux']","[2, 6]",Title,Values
"['mold', 'idea', 'sand', 'pencil', 'attack', 'wall', 'planet', 'bond']","[7, 7, 8, 8, 5, 9, 4, 1]",Accuracy of different algorithms,Accuracy
"['spirit', 'good', 'night', 'vision']","[10, 100000000, 10, 1000]",Title,Values
"['band', 'guilt', 'store', 'sound', 'snow']","[40, 10, 60, 40, 30]",Title,Values
"['book', 'series']","[5, 6]",Accuracy of different algorithms,Accuracy
"['name', 'battle', 'novel', 'tea', 'wait']","[-6, 9, 1, 1, -7]",Title,Values
"['twenty', 'tip', 'murder', 'wisdom', 'model', 'pay']","[50, 60, 50, 80, 50, 30]",Accuracy of different algorithms,Accuracy
"['coffee', 'horror', 'term', 'limit']","[1, 4, 5, 7]",Accuracy of different algorithms,Accuracy
"['rear', 'hunger', 'lesson', 'roof', 'fluid']","[30, 40, 60, 60, 90]",Most preferred objects,Percent of People
"['threat', 'case']","[20, 70]",Most preferred objects,Percent of People
"['breath', 'league', 'tire']","[6, 7, 5]",Accuracy of different algorithms,Accuracy
"['world', 'bottle', 'beauty', 'reach']","[2, 4, 9, 3]",Title,Values
"['image', 'rest', 'club']","[20, 40, 50]",Title,Values
"['fist', 'close']","[9, 5]",Accuracy of different algorithms,Accuracy
"['shirt', 'term', 'force', 'style']","[100, 100000000, 100000000, 10000]",Title,Values
"['spot', 'rule']","[5, 9]",Title,Values
"['fly', 'style', 'dog', 'bowl']","[6, 7, 7, 8]",Most preferred objects,Number of People
"['female', 'access', 'ranch', 'mature']","[60, 60, 50, 70]",Title,Values
"['chest', 'cycle', 'wife', 'way', 'rush', 'study', 'bird']","[90, 10, 20, 90, 10, 90, 60]",Title,Values
"['brief', 'island']","[0, 70]",Title,Values
"['game', 'affair', 'coal']","[7, 4, 7]",Sales statistics for different items,Units sold
"['grain', 'get', 'blind', 'form', 'hand', 'damage']","[6, 2, 3, 2, 9, 4]",Sales statistics for different items,Units sold
"['rock', 'money', 'report', 'dive', 'head']","[-3, 3, 2, 2, 1]",Title,Values
"['foam', 'paper']","[3, 4]",Most preferred objects,Number of People
"['bond', 'bottle', 'friend', 'realm']","[9, 6, 3, 7]",Most preferred objects,Number of People
"['genius', 'damage', 'lack']","[7, 3, 6]",Accuracy of different algorithms,Accuracy
"['plenty', 'growth']","[6, 3]",Most preferred objects,Number of People
"['check', 'trial', 'garden', 'cure', 'voice', 'sight']","[50, 90, 60, 10, 40, 90]",Most preferred objects,Percent of People
"['plain', 'wind', 'form', 'iodine']","[3, 4, 3, 7]",Accuracy of different algorithms,Accuracy
"['place', 'guest', 'club', 'worry', 'movie', 'value']","[1, 3, 7, 1, 2, 7]",Sales statistics for different items,Units sold
"['pilot', 'drop', 'survey', 'widow', 'today', 'hope']","[60, 80, 30, 60, 30, 10]",Most preferred objects,Percent of People
"['letter', 'credit', 'impact', 'whole']","[60, 40, 80, 80]",Most preferred objects,Percent of People
"['breath', 'song']","[8, 2]",Title,Values
"['range', 'oil', 'head', 'weapon', 'tire', 'march', 'brain']","[4, 9, 7, 1, 5, 3, 4]",Most preferred objects,Number of People
"['agency', 'access', 'today', 'barn', 'drunk', 'box']","[6, 4, 2, 5, 2, 9]",Accuracy of different algorithms,Accuracy
"['sale', 'crisis', 'plan', 'summer', 'judge', 'date', 'level']","[7, 9, 1, 4, 2, 5, 2]",Sales statistics for different items,Units sold
"['police', 'rhythm']","[1, 7]",Title,Values
"['boy', 'stone', 'bill', 'cross']","[70, 80, 50, 70]",Title,Values
"['shore', 'coffee', 'travel', 'victim', 'track']","[6, 2, 5, 9, 3]",Accuracy of different algorithms,Accuracy
"['fly', 'attack', 'pocket']","[1, 6, 2]",Most preferred objects,Number of People
"['sorry', 'summer', 'square']","[5, 4, 2]",Accuracy of different algorithms,Accuracy
"['guard', 'fit', 'sweat', 'dinner']","[2, 9, 7, 4]",Sales statistics for different items,Units sold
"['notion', 'side', 'prayer', 'bank']","[8, 7, 9, 8]",Accuracy of different algorithms,Accuracy
"['fee', 'hill', 'sign']","[4, 6, 8]",Accuracy of different algorithms,Accuracy
"['cloth', 'focus', 'touch', 'stock', 'victim', 'sleep', 'gas']","[5, 8, 1, 1, 2, 7, 4]",Title,Values
"['stage', 'bread', 'law', 'drop']","[90, 40, 80, 50]",Title,Values
"['combat', 'round', 'love', 'camp', 'reform', 'piece', 'cotton', 'sera', 'thirty']","[9, 2, 0, 0, 6, 1, 0, 4, 5]",Title,Values
"['sport', 'policy']","[70, 80]",Accuracy of different algorithms,Accuracy
"['device', 'novel', 'plenty']","[9, 2, 5]",Title,Values
"['mercy', 'museum', 'chorus']","[2, 5, 9]",Most preferred objects,Number of People
"['jungle', 'source', 'plug']","[3, 2, 5]",Sales statistics for different items,Units sold
"['key', 'code', 'era', 'court', 'vote', 'middle', 'clerk']","[2, 9, 8, 5, 2, -5, 6]",Title,Values
"['touch', 'coal', 'bride']","[3, 6, 8]",Accuracy of different algorithms,Accuracy
"['fist', 'member', 'party', 'side']","[5, 4, 6, 7]",Accuracy of different algorithms,Accuracy
"['ranch', 'whisky', 'hole', 'vice', 'hell', 'saline']","[5, 9, 7, 2, 1, 1]",Accuracy of different algorithms,Accuracy
"['height', 'choice', 'slope', 'lack', 'card']","[8, 8, 5, 9, 9]",Title,Values
"['author', 'cover', 'dust']","[1, 9, 9]",Title,Values
"['basket', 'flood', 'lady']","[50, 70, 70]",Most preferred objects,Percent of People
"['dirt', 'verse', 'index', 'agent', 'dance', 'row']","[6, 5, 5, 4, 2, 3]",Title,Values
"['fuel', 'pain']","[3, 8]",Most preferred objects,Number of People
"['dog', 'yield', 'wind', 'stress', 'sum']","[2, 8, 5, 6, 7]",Most preferred objects,Number of People
"['fire', 'paint', 'police']","[1000000000, 100, 100000000]",Title,Values
"['god', 'radio', 'anode', 'guest']","[60, 30, 80, 30]",Most preferred objects,Percent of People
"['sort', 'doctor']","[4, 2]",Most preferred objects,Number of People
"['patent', 'scale', 'record', 'lap', 'sample', 'lack', 'fluid']","[5, 7, 7, 4, 4, 3, 2]",Sales statistics for different items,Units sold
"['load', 'lip', 'genius', 'factor', 'sitter', 'moment']","[-7, 1, 1, 7, -3, -6]",Title,Values
"['bottle', 'bird', 'kid', 'cast', 'county']","[10000, 1000000, 1000000000, 10, 100]",Title,Values
"['axis', 'age', 'tip', 'good', 'tale', 'touch']","[10000000, 10000000, 10000, 100, 10000000, 100000000]",Title,Values
"['arc', 'ice']","[20, 40]",Accuracy of different algorithms,Accuracy
"['tire', 'stick', 'mirror']","[7, 0, 0]",Title,Values
"['chain', 'verse', 'rage', 'doctor', 'sweat']","[9, 9, 5, 1, 9]",Accuracy of different algorithms,Accuracy
"['call', 'stress', 'jet', 'bit', 'focus']","[3, 2, 7, 5, 5]",Accuracy of different algorithms,Accuracy
"['spring', 'wave', 'estate', 'movie', 'fog']","[4, 2, 5, 3, 3]",Most preferred objects,Number of People
"['museum', 'rain', 'shore']","[30, 80, 50]",Most preferred objects,Percent of People
"['midst', 'while', 'aid', 'cash', 'mode']","[4, 4, 7, 9, 1]",Title,Values
"['studio', 'artery', 'tone', 'oxygen', 'row']","[9, 2, 3, 5, 8]",Sales statistics for different items,Units sold
"['study', 'get']","[4, 7]",Title,Values
"['reach', 'mad', 'bone', 'female', 'waste', 'dark', 'block', 'wheel']","[1, 3, 8, 3, 6, 3, 3, 5]",Accuracy of different algorithms,Accuracy
"['rule', 'hall', 'design', 'score', 'ball', 'smell']","[1, 2, 2, 9, 8, 1]",Title,Values
"['peace', 'chair', 'gift', 'camera']","[2, 1, 6, 1]",Most preferred objects,Number of People
"['guilt', 'auto', 'lamp']","[2, 8, 2]",Title,Values
"['shape', 'title', 'phone', 'state', 'wagon', 'wonder']","[20, 10, 10, 80, 20, 90]",Title,Values
"['impact', 'radar', 'spite', 'type', 'wife', 'south']","[5, 8, 2, 4, 5, 4]",Accuracy of different algorithms,Accuracy
"['carbon', 'bond']","[2, 7]",Sales statistics for different items,Units sold
"['branch', 'living']","[10000, 1000000]",Title,Values
"['affair', 'ring']","[8, 4]",Sales statistics for different items,Units sold
"['boss', 'atom', 'item']","[9, 1, 7]",Sales statistics for different items,Units sold
"['skin', 'thirty', 'basis', 'nature', 'behalf', 'excuse', 'genius', 'folk']","[3, 2, 1, 4, 3, 8, 6, 9]",Sales statistics for different items,Units sold
"['drama', 'crew', 'diet']","[5, 3, 5]",Sales statistics for different items,Units sold
"['victim', 'cash', 'strain', 'faith', 'anyone']","[7, 4, 9, 1, 6]",Sales statistics for different items,Units sold
"['time', 'body', 'play', 'gay']","[6, 3, 8, 3]",Sales statistics for different items,Units sold
"['talk', 'base', 'mind', 'making', 'day']","[60, 40, 10, 20, 60]",Most preferred objects,Percent of People
"['meal', 'mud']","[5, 2]",Sales statistics for different items,Units sold
"['terror', 'decade']","[8, 6]",Most preferred objects,Number of People
"['growth', 'back', 'rice', 'root', 'time', 'model', 'scale']","[0, 6, 3, 4, 9, 7, 7]",Title,Values
"['wire', 'editor', 'teeth', 'public', 'east', 'city', 'bass']","[5, 9, 5, 9, 7, 6, 5]",Accuracy of different algorithms,Accuracy
"['vote', 'study', 'manner', 'title']","[80, 30, 50, 70]",Accuracy of different algorithms,Accuracy
"['dark', 'radar', 'cow', 'soil', 'joy', 'route', 'mail']","[30, 60, 60, 90, 70, 10, 10]",Accuracy of different algorithms,Accuracy
"['dozen', 'check', 'animal', 'tax', 'smell']","[8, 1, 5, 4, 9]",Title,Values
"['dome', 'window', 'noon', 'legs', 'grade', 'lesson']","[1, 3, 2, 8, 9, 8]",Accuracy of different algorithms,Accuracy
"['land', 'post', 'camera', 'wonder', 'piano']","[4, 1, 8, 5, 5]",Accuracy of different algorithms,Accuracy
"['answer', 'band', 'member', 'rage', 'estate', 'labor']","[10, 60, 30, 80, 10, 60]",Most preferred objects,Percent of People
"['war', 'market', 'age', 'shell']","[9, 8, 1, 3]",Accuracy of different algorithms,Accuracy
"['march', 'drive']","[1, 7]",Most preferred objects,Number of People
"['light', 'hurry']","[8, 1]",Title,Values
"['policy', 'ideal', 'bay', 'fire', 'battle', 'notion']","[3, 7, 1, 8, 9, 7]",Accuracy of different algorithms,Accuracy
"['input', 'day']","[1, 7]",Accuracy of different algorithms,Accuracy
"['church', 'tissue', 'woman', 'heard', 'policy', 'hole']","[3, 1, 7, 4, 8, 2]",Title,Values
"['lap', 'watch', 'female', 'air', 'jail', 'search', 'fly']","[4, 1, 4, 8, 3, 5, 8]",Title,Values
"['river', 'fault', 'coach', 'voyage', 'iodine', 'road']","[50, 40, 50, 30, 20, 30]",Most preferred objects,Percent of People
"['corps', 'humor', 'branch']","[4, 8, 2]",Accuracy of different algorithms,Accuracy
"['gang', 'denial', 'system', 'bath', 'ward', 'actor', 'input']","[10, 60, 30, 70, 70, 80, 90]",Title,Values
"['poetry', 'pain', 'brick', 'artist', 'bureau', 'power', 'input', 'sewage']","[40, 50, 20, 50, 60, 40, 80, 90]",Most preferred objects,Percent of People
"['sphere', 'desire', 'county', 'affair']","[50, 10, 60, 20]",Title,Values
"['back', 'form', 'skin']","[30, 30, 40]",Most preferred objects,Percent of People
"['mark', 'female', 'storm', 'iodine']","[1, 7, 5, 4]",Title,Values
"['way', 'mass', 'guard']","[8, 9, 7]",Title,Values
"['lead', 'growth']","[3, 4]",Sales statistics for different items,Units sold
"['staff', 'stone', 'block', 'fuel']","[6, 7, 8, 2]",Accuracy of different algorithms,Accuracy
"['luck', 'poem', 'fly']","[100000, 1000000, 10]",Title,Values
"['blind', 'mouth', 'yield', 'till', 'group']","[3, 4, 6, 3, 2]",Accuracy of different algorithms,Accuracy
"['noise', 'plain', 'fee', 'care', 'life', 'lock', 'ocean']","[6, 8, 1, 5, 8, 6, 7]",Sales statistics for different items,Units sold
"['vertex', 'bundle', 'war', 'drift', 'column', 'story']","[60, 40, 90, 10, 30, 20]",Accuracy of different algorithms,Accuracy
