labels,values,title,value_heading,code
"['habit', 'burden', 'stroke', 'axis', 'record']","[10, 70, 80, 60, 70]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['habit', 'burden', 'stroke', 'axis', 'record']
values = [10.0, 70.0, 80.0, 60.0, 70.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Courier New')  # Add a title to the chart

# Display the chart
plt.show()
"
"['left', 'member', 'hand', 'review', 'kid', 'year', 'fellow']","[-1, 9, -8, 4, 7, 1, 3]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['left', 'member', 'hand', 'review', 'kid', 'year', 'fellow']
values = [1.0, 9.0, 8.0, 4.0, 7.0, 1.0, 3.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Times New Roman')  # Add a title to the chart

# Display the chart
plt.show()
"
"['advice', 'outfit', 'gate', 'square', 'heard']","[1, 6, 7, 9, 9]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['advice', 'outfit', 'gate', 'square', 'heard']
values = [1.0, 6.0, 7.0, 9.0, 9.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Most preferred objects', fontname='Verdana')  # Add a title to the chart

# Display the chart
plt.show()
"
"['answer', 'cream', 'theory', 'terror', 'expert', 'tie', 'today']","[7, 8, -7, 6, 1, -9, -6]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['answer', 'cream', 'theory', 'terror', 'expert', 'tie', 'today']
values = [7.0, 8.0, 7.0, 6.0, 1.0, 9.0, 6.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Comic Sans MS')  # Add a title to the chart

# Display the chart
plt.show()
"
"['text', 'path', 'sum', 'player', 'shore', 'talent', 'grave']","[50, 70, 70, 40, 90, 90, 80]",Most preferred objects,Percent of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['text', 'path', 'sum', 'player', 'shore', 'talent', 'grave']
values = [50.0, 70.0, 70.0, 40.0, 90.0, 90.0, 80.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Most preferred objects', fontname='Times New Roman')  # Add a title to the chart

# Display the chart
plt.show()
"
"['item', 'form', 'good', 'demand', 'word', 'pool']","[1, 3, 3, 8, 9, 9]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['item', 'form', 'good', 'demand', 'word', 'pool']
values = [1.0, 3.0, 3.0, 8.0, 9.0, 9.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Arial')  # Add a title to the chart

# Display the chart
plt.show()
"
"['effect', 'hall']","[10000000, 1000]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['effect', 'hall']
values = [10000000.0, 1000.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Courier New')  # Add a title to the chart

# Display the chart
plt.show()
"
"['sake', 'myth', 'law', 'wash', 'stake', 'train', 'cellar', 'flight']","[9, 4, 1, 4, 8, 4, 8, 9]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['sake', 'myth', 'law', 'wash', 'stake', 'train', 'cellar', 'flight']
values = [9.0, 4.0, 1.0, 4.0, 8.0, 4.0, 8.0, 9.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Courier New')  # Add a title to the chart

# Display the chart
plt.show()
"
"['point', 'widow']","[5, 4]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['point', 'widow']
values = [5.0, 4.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Most preferred objects', fontname='Courier New')  # Add a title to the chart

# Display the chart
plt.show()
"
"['grass', 'mean', 'queen', 'back', 'making', 'hold', 'essay']","[8, 1, 2, 3, 5, 1, 9]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['grass', 'mean', 'queen', 'back', 'making', 'hold', 'essay']
values = [8.0, 1.0, 2.0, 3.0, 5.0, 1.0, 9.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Verdana')  # Add a title to the chart

# Display the chart
plt.show()
"
"['piano', 'cream', 'comedy', 'value']","[30, 10, 50, 90]",Most preferred objects,Percent of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['piano', 'cream', 'comedy', 'value']
values = [30.0, 10.0, 50.0, 90.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Most preferred objects', fontname='Times New Roman')  # Add a title to the chart

# Display the chart
plt.show()
"
"['tent', 'roll']","[4, 9]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['tent', 'roll']
values = [4.0, 9.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Most preferred objects', fontname='Verdana')  # Add a title to the chart

# Display the chart
plt.show()
"
"['sauce', 'inch', 'artist', 'idea', 'crowd', 'voice', 'style', 'drift']","[7, 8, 4, 2, 7, 8, 6, 5]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['sauce', 'inch', 'artist', 'idea', 'crowd', 'voice', 'style', 'drift']
values = [7.0, 8.0, 4.0, 2.0, 7.0, 8.0, 6.0, 5.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Verdana')  # Add a title to the chart

# Display the chart
plt.show()
"
"['bone', 'left', 'widow']","[50, 90, 10]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['bone', 'left', 'widow']
values = [50.0, 90.0, 10.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Comic Sans MS')  # Add a title to the chart

# Display the chart
plt.show()
"
"['dozen', 'house', 'sorry', 'stake']","[3, 4, 4, 3]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['dozen', 'house', 'sorry', 'stake']
values = [3.0, 4.0, 4.0, 3.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Arial')  # Add a title to the chart

# Display the chart
plt.show()
"
"['travel', 'cover', 'heard', 'horror', 'hero']","[9, 7, 4, 1, 9]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['travel', 'cover', 'heard', 'horror', 'hero']
values = [9.0, 7.0, 4.0, 1.0, 9.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Courier New')  # Add a title to the chart

# Display the chart
plt.show()
"
"['town', 'carbon', 'watch']","[5, 2, 8]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['town', 'carbon', 'watch']
values = [5.0, 2.0, 8.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Times New Roman')  # Add a title to the chart

# Display the chart
plt.show()
"
"['cream', 'tie', 'trust']","[60, 10, 50]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['cream', 'tie', 'trust']
values = [60.0, 10.0, 50.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Comic Sans MS')  # Add a title to the chart

# Display the chart
plt.show()
"
"['rear', 'good', 'edge']","[2, 7, 7]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['rear', 'good', 'edge']
values = [2.0, 7.0, 7.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Courier New')  # Add a title to the chart

# Display the chart
plt.show()
"
"['talk', 'sky', 'blonde']","[2, 9, 1]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['talk', 'sky', 'blonde']
values = [2.0, 9.0, 1.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Most preferred objects', fontname='Arial')  # Add a title to the chart

# Display the chart
plt.show()
"
"['party', 'run', 'merit', 'barrel']","[1, 7, 9, 9]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['party', 'run', 'merit', 'barrel']
values = [1.0, 7.0, 9.0, 9.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Arial')  # Add a title to the chart

# Display the chart
plt.show()
"
"['issue', 'book', 'era']","[90, 20, 80]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['issue', 'book', 'era']
values = [90.0, 20.0, 80.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Courier New')  # Add a title to the chart

# Display the chart
plt.show()
"
"['bit', 'slope', 'gay', 'cold', 'skill']","[4, 7, 9, 3, 4]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['bit', 'slope', 'gay', 'cold', 'skill']
values = [4.0, 7.0, 9.0, 3.0, 4.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Comic Sans MS')  # Add a title to the chart

# Display the chart
plt.show()
"
"['bond', 'master']","[8, 5]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['bond', 'master']
values = [8.0, 5.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Arial')  # Add a title to the chart

# Display the chart
plt.show()
"
"['wait', 'bomb', 'spring']","[1, 2, 4]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['wait', 'bomb', 'spring']
values = [1.0, 2.0, 4.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Verdana')  # Add a title to the chart

# Display the chart
plt.show()
"
"['jaw', 'feel', 'motion', 'style']","[0, 8, 2, 4]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['jaw', 'feel', 'motion', 'style']
values = [0.0, 8.0, 2.0, 4.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Comic Sans MS')  # Add a title to the chart

# Display the chart
plt.show()
"
"['faint', 'sweat']","[70, 30]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['faint', 'sweat']
values = [70.0, 30.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Times New Roman')  # Add a title to the chart

# Display the chart
plt.show()
"
"['poet', 'issue', 'result', 'file', 'garage', 'knife', 'input']","[3, 4, 9, 1, 1, 9, 3]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['poet', 'issue', 'result', 'file', 'garage', 'knife', 'input']
values = [3.0, 4.0, 9.0, 1.0, 1.0, 9.0, 3.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Courier New')  # Add a title to the chart

# Display the chart
plt.show()
"
"['sound', 'story', 'law', 'notice', 'master', 'cent', 'garden', 'lack', 'unit']","[3, 5, 3, 3, 5, 3, 9, 8, 8]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['sound', 'story', 'law', 'notice', 'master', 'cent', 'garden', 'lack', 'unit']
values = [3.0, 5.0, 3.0, 3.0, 5.0, 3.0, 9.0, 8.0, 8.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Arial')  # Add a title to the chart

# Display the chart
plt.show()
"
"['guilt', 'course', 'object', 'volume', 'league', 'sheet', 'head']","[90, 40, 60, 40, 40, 70, 40]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['guilt', 'course', 'object', 'volume', 'league', 'sheet', 'head']
values = [90.0, 40.0, 60.0, 40.0, 40.0, 70.0, 40.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Comic Sans MS')  # Add a title to the chart

# Display the chart
plt.show()
"
"['demand', 'charm', 'impact', 'dozen']","[2, 8, 4, 8]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['demand', 'charm', 'impact', 'dozen']
values = [2.0, 8.0, 4.0, 8.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Arial')  # Add a title to the chart

# Display the chart
plt.show()
"
"['plane', 'pay', 'prison', 'closet', 'store']","[8, 4, 9, 6, 3]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['plane', 'pay', 'prison', 'closet', 'store']
values = [8.0, 4.0, 9.0, 6.0, 3.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Most preferred objects', fontname='Arial')  # Add a title to the chart

# Display the chart
plt.show()
"
"['note', 'blood', 'fruit', 'pistol', 'cross']","[3, 7, 8, 2, 3]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['note', 'blood', 'fruit', 'pistol', 'cross']
values = [3.0, 7.0, 8.0, 2.0, 3.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Courier New')  # Add a title to the chart

# Display the chart
plt.show()
"
"['data', 'check', 'show', 'fuel', 'regime', 'hope']","[5, 4, 3, 4, 9, 3]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['data', 'check', 'show', 'fuel', 'regime', 'hope']
values = [5.0, 4.0, 3.0, 4.0, 9.0, 3.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Verdana')  # Add a title to the chart

# Display the chart
plt.show()
"
"['rock', 'thing']","[8, 4]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['rock', 'thing']
values = [8.0, 4.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Courier New')  # Add a title to the chart

# Display the chart
plt.show()
"
"['whole', 'signal', 'load']","[7, 6, 4]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['whole', 'signal', 'load']
values = [7.0, 6.0, 4.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Verdana')  # Add a title to the chart

# Display the chart
plt.show()
"
"['serum', 'cost']","[3, 8]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['serum', 'cost']
values = [3.0, 8.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Times New Roman')  # Add a title to the chart

# Display the chart
plt.show()
"
"['medium', 'tip', 'merger', 'hen', 'income']","[100000, 10000, 1000000000, 100000, 10000000]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['medium', 'tip', 'merger', 'hen', 'income']
values = [100000.0, 10000.0, 1000000000.0, 100000.0, 10000000.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Courier New')  # Add a title to the chart

# Display the chart
plt.show()
"
"['bullet', 'means', 'cellar', 'bit', 'myth']","[5, 7, 6, 4, 2]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['bullet', 'means', 'cellar', 'bit', 'myth']
values = [5.0, 7.0, 6.0, 4.0, 2.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Most preferred objects', fontname='Arial')  # Add a title to the chart

# Display the chart
plt.show()
"
"['wealth', 'trend']","[6, 8]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['wealth', 'trend']
values = [6.0, 8.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Verdana')  # Add a title to the chart

# Display the chart
plt.show()
"
"['poetry', 'kind', 'ocean']","[2, 2, 3]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['poetry', 'kind', 'ocean']
values = [2.0, 2.0, 3.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Verdana')  # Add a title to the chart

# Display the chart
plt.show()
"
"['island', 'medium', 'ear', 'eye', 'device', 'birth', 'marine']","[80, 80, 70, 30, 80, 30, 80]",Most preferred objects,Percent of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['island', 'medium', 'ear', 'eye', 'device', 'birth', 'marine']
values = [80.0, 80.0, 70.0, 30.0, 80.0, 30.0, 80.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Most preferred objects', fontname='Comic Sans MS')  # Add a title to the chart

# Display the chart
plt.show()
"
"['train', 'stem', 'melody', 'car']","[3, 2, 5, 2]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['train', 'stem', 'melody', 'car']
values = [3.0, 2.0, 5.0, 2.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Verdana')  # Add a title to the chart

# Display the chart
plt.show()
"
"['dollar', 'trend', 'review', 'valley', 'bond', 'break', 'rise', 'habit']","[6, 2, 6, 4, 6, 4, 5, 2]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['dollar', 'trend', 'review', 'valley', 'bond', 'break', 'rise', 'habit']
values = [6.0, 2.0, 6.0, 4.0, 6.0, 4.0, 5.0, 2.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Title', fontname='Comic Sans MS')  # Add a title to the chart

# Display the chart
plt.show()
"
"['motel', 'remark', 'trail', 'peace', 'camera', 'pink', 'rank', 'cap']","[1, 1, 6, 2, 8, 5, 7, 4]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['motel', 'remark', 'trail', 'peace', 'camera', 'pink', 'rank', 'cap']
values = [1.0, 1.0, 6.0, 2.0, 8.0, 5.0, 7.0, 4.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Arial')  # Add a title to the chart

# Display the chart
plt.show()
"
"['goal', 'access', 'opera', 'slave', 'fluid', 'seed', 'bond', 'chest']","[9, 9, 7, 3, 4, 9, 1, 9]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['goal', 'access', 'opera', 'slave', 'fluid', 'seed', 'bond', 'chest']
values = [9.0, 9.0, 7.0, 3.0, 4.0, 9.0, 1.0, 9.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Comic Sans MS')  # Add a title to the chart

# Display the chart
plt.show()
"
"['degree', 'unit', 'sitter', 'battle']","[5, 4, 6, 7]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['degree', 'unit', 'sitter', 'battle']
values = [5.0, 4.0, 6.0, 7.0]

# Creating the pie chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.pie(values, labels=categories, autopct='%1.1f%%', colors=plt.cm.Set3.colors)  # Plot the pie chart with percentages and a color map

# Adding title and labels
plt.title('Most preferred objects', fontname='Verdana')  # Add a title to the chart

# Display the chart
plt.show()
"
